TraceFinder Compound Database Export,Schema Version 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,PEAK 1,,,,,,,,,,PEAK 2,,,,,,,,,,PEAK 3,,,,,,,,,,PEAK 4,,,,,,,,,,
CompoundName,ExperimentType,Compound Type,ChemicalFormula,Category,CAS,Ionization,ResponseThreshold,Internal Standard,Internal Standard Concentration,PrecursorMass,ExtractedMass,Adduct,Polarity,ChargeState,RT,Window,CollisionEnergy,Lens,EnergyRamp,PrecursorMass,ExtractedMass,Adduct,Polarity,ChargeState,RT,Window,CollisionEnergy,Lens,EnergyRamp,PrecursorMass,ExtractedMass,Adduct,Polarity,ChargeState,RT,Window,CollisionEnergy,Lens,EnergyRamp,PrecursorMass,ExtractedMass,Adduct,Polarity,ChargeState,RT,Window,CollisionEnergy,Lens,EnergyRamp
Acetaldehyde oxime,XIC,eTargetCompound,C2H5NO,,,ESI,5000,,0,,60.04439,M+H,+,1,0,120,,,,,82.02634,M+Na,+,1,0,60,,,,,77.07094,M+NH4,+,1,0,60,,,,,58.02984,M-H,-,1,0,60,,,
Acetamide,XIC,eTargetCompound,C2H5NO,,,ESI,5000,,0,,60.04439,M+H,+,1,0,120,,,,,82.02634,M+Na,+,1,0,60,,,,,77.07094,M+NH4,+,1,0,60,,,,,58.02984,M-H,-,1,0,60,,,
Aminoacetaldehyde,XIC,eTargetCompound,C2H5NO,,,ESI,5000,,0,,60.04439,M+H,+,1,0,120,,,,,82.02634,M+Na,+,1,0,60,,,,,77.07094,M+NH4,+,1,0,60,,,,,58.02984,M-H,-,1,0,60,,,
Isopropylamine,XIC,eTargetCompound,C3H9N,,,ESI,5000,,0,,60.08078,M+H,+,1,0,120,,,,,82.06272,M+Na,+,1,0,60,,,,,77.10732,M+NH4,+,1,0,60,,,,,58.06622,M-H,-,1,0,60,,,
Trimethylamine,XIC,eTargetCompound,C3H9N,,,ESI,5000,,0,,60.08078,M+H,+,1,0,120,,,,,82.06272,M+Na,+,1,0,60,,,,,77.10732,M+NH4,+,1,0,60,,,,,58.06622,M-H,-,1,0,60,,,
Glycolaldehyde,XIC,eTargetCompound,C2H4O2,,,ESI,5000,,0,,61.02841,M+H,+,1,0,120,,,,,83.01035,M+Na,+,1,0,60,,,,,78.05496,M+NH4,+,1,0,60,,,,,59.01385,M-H,-,1,0,60,,,
Urea,XIC,eTargetCompound,CH4N2O,,,ESI,5000,,0,,61.03964,M+H,+,1,0,120,,,,,83.02158,M+Na,+,1,0,60,,,,,78.06619,M+NH4,+,1,0,60,,,,,59.02509,M-H,-,1,0,60,,,
Propan-2-ol,XIC,eTargetCompound,C3H8O,,,ESI,5000,,0,,61.06479,M+H,+,1,0,120,,,,,83.04674,M+Na,+,1,0,60,,,,,78.09134,M+NH4,+,1,0,60,,,,,59.05024,M-H,-,1,0,60,,,
Propane-1-ol,XIC,eTargetCompound,C3H8O,,,ESI,5000,,0,,61.06479,M+H,+,1,0,120,,,,,83.04674,M+Na,+,1,0,60,,,,,78.09134,M+NH4,+,1,0,60,,,,,59.05024,M-H,-,1,0,60,,,
Carbamate,XIC,eTargetCompound,CH3NO2,,,ESI,5000,,0,,62.02365,M+H,+,1,0,120,,,,,84.0056,M+Na,+,1,0,60,,,,,79.0502,M+NH4,+,1,0,60,,,,,60.0091,M-H,-,1,0,60,,,
Ethanolamine,XIC,eTargetCompound,C2H7NO,,,ESI,5000,,0,,62.06004,M+H,+,1,0,120,,,,,84.04199,M+Na,+,1,0,60,,,,,79.08659,M+NH4,+,1,0,60,,,,,60.04549,M-H,-,1,0,60,,,
Hyponitrite,XIC,eTargetCompound,H2N2O2,,,ESI,5000,,0,,63.0189,M+H,+,1,0,120,,,,,85.00085,M+Na,+,1,0,60,,,,,80.04545,M+NH4,+,1,0,60,,,,,61.00435,M-H,-,1,0,60,,,
